workload,type,file_bytes,save_us,load_us,mmap_us
1000×32,hnsw,410272,231,715,177
1000×32,+u32,410272,221,696,165
1000×32,+String,429196,250,1545,204
1000×32,+Vec<f32>,550304,374,1592,258
1000×32,paired,815172,278,1390,342
1000×128,hnsw,794272,330,801,164
1000×128,+u32,796648,314,787,171
1000×128,+String,814612,342,1574,195
1000×128,+Vec<f32>,931688,421,1614,248
1000×128,paired,1585492,405,1597,342
10000×32,hnsw,4087264,1770,7054,1674
10000×32,+u32,4133600,1820,7439,1702
10000×32,+String,4311224,2045,15251,2029
10000×32,+Vec<f32>,5486580,3582,16482,2752
10000×32,paired,8179996,3919,14743,3580
10000×128,hnsw,7927264,3131,8513,1685
10000×128,+u32,7955668,3078,8379,1810
10000×128,+String,8147128,3451,16691,2043
10000×128,+Vec<f32>,9330752,4437,17222,2674
10000×128,paired,15860860,6521,16995,3524
50000×128,hnsw,39642876,16261,42132,8838
50000×128,+u32,39833832,17352,40904,8966
50000×128,+String,40736880,17107,81492,10630
50000×128,+Vec<f32>,46632708,21942,83429,13677
50000×128,paired,79260572,33977,78501,18630
